Nom
Date de naissance
Date d’enregistrement,2022-02-27 15:54:45 +0100
Classification,Rythme sinusal
Symptômes,
Version du logiciel,1.52
Appareil,"Watch5,1"
Fréquence d’échantillonnage,511,242 hertz


Dérivation,Dérivation DI
Unité,µV

-83,345
-89,319
-95,054
-100,487
-105,535
-110,139
-114,278
-117,954
-121,21
-124,1
-126,659
-128,922
-130,918
-132,661
-134,166
-135,441
-136,47
-137,256
-137,82
-138,195
-138,445
-138,625
-138,759
-138,863
-138,936
-138,954
-138,914
-138,804
-138,603
-138,315
-137,96
-137,577
-137,24
-137,002
-136,885
-136,904
-137,045
-137,283
-137,598
-137,948
-138,274
-138,542
-138,721
-138,794
-138,773
-138,635
-138,332
-137,8
-136,945
-135,692
-134
-131,826
-129,135
-125,932
-122,245
-118,147
-113,763
-109,184
-104,475
-99,684
-94,829
-89,949
-85,112
-80,381
-75,83
-71,528
-67,521
-63,876
-60,67
-57,93
-55,649
-53,768
-52,177
-50,801
-49,6
-48,542
-47,619
-46,815
-46,103
-45,482
-44,957
-44,523
-44,172
-43,869
-43,554
-43,205
-42,83
-42,461
-42,161
-41,957
-41,851
-41,85
-41,952
-42,152
-42,438
-42,76
-43,056
-43,288
-43,43
-43,488
-43,492
-43,447
-43,352
-43,215
-43,041
-42,869
-42,757
-42,734
-42,834
-43,096
-43,565
-44,327
-45,477
-47,081
-49,194
-51,855
-55,082
-58,907
-63,358
-68,42
-74,061
-80,213
-86,789
-93,733
-100,992
-108,496
-116,179
-123,941
-131,67
-139,28
-146,681
-153,765
-160,436
-166,585
-172,096
-176,913
-181,008
-184,376
-187,042
-189,007
-190,269
-190,848
-190,757
-190,027
-188,701
-186,805
-184,38
-181,517
-178,307
-174,866
-171,323
-167,759
-164,231
-160,785
-157,44
-154,225
-151,173
-148,297
-145,615
-143,153
-140,926
-138,97
-137,303
-135,89
-134,691
-133,641
-132,655
-131,682
-130,687
-129,635
-128,513
-127,31
-126,013
-124,624
-123,143
-121,556
-119,847
-117,985
-115,947
-113,744
-111,394
-108,93
-106,402
-103,841
-101,269
-98,715
-96,189
-93,698
-91,245
-88,823
-86,422
-84,044
-81,694
-79,384
-77,127
-74,922
-72,762
-70,636
-68,525
-66,414
-64,287
-62,127
-59,923
-57,667
-55,353
-52,98
-50,551
-48,062
-45,512
-42,897
-40,211
-37,449
-34,604
-31,669
-28,642
-25,524
-22,318
-19,028
-15,664
-12,237
-8,763
-5,265
-1,76
1,734
5,203
8,638
12,026
15,351
18,597
21,742
24,768
27,663
30,416
33,012
35,451
37,744
39,913
41,998
44,036
46,053
48,074
50,11
52,169
54,251
56,353
58,467
60,58
62,677
64,744
66,769
68,725
70,574
72,251
73,672
74,749
75,402
75,559
75,156
74,148
72,509
70,232
67,32
63,783
59,636
54,882
49,524
43,57
37,027
29,935
22,354
14,353
5,993
-2,675
-11,604
-20,759
-30,109
-39,627
-49,301
-59,14
-69,133
-79,233
-89,394
-99,51
-109,51
-119,419
-129,16
-138,546
-147,311
-155,025
-161,232
-165,575
-167,566
-166,651
-162,675
-155,792
-146,514
-135,805
-124,837
-114,972
-107,468
-103,343
-101,875
-100,494
-97,746
-92,447
-84,769
-76,956
-65,872
-45,41
-9,955
48,25
129,55
228,345
338,737
448,013
542,48
609,669
637,352
621,674
567,17
482,431
376,244
256,915
132,284
12,814
-85,133
-150,494
-181,721
-184,955
-174,704
-160,227
-141,284
-117,848
-90,354
-63,528
-48,051
-46,961
-55,341
-67,189
-73,719
-72,131
-66,69
-59,516
-52,677
-46,844
-39,666
-30,712
-20,839
-10,586
-1,07
6,888
13,245
17,927
20,854
22,219
22,2
20,911
18,527
15,228
11,135
6,413
1,275
-4,107
-9,537
-14,807
-19,765
-24,277
-28,232
-31,564
-34,221
-36,167
-37,393
-37,899
-37,688
-36,782
-35,201
-32,986
-30,217
-26,99
-23,425
-19,65
-15,758
-11,819
-7,892
-4,014
-0,218
3,467
7,028
10,451
13,706
16,756
19,543
22,022
24,176
26,006
27,53
28,778
29,768
30,506
30,998
31,241
31,229
30,961
30,438
29,671
28,697
27,58
26,402
25,25
24,212
23,362
22,769
22,499
22,615
23,184
24,272
25,952
28,301
31,375
35,208
39,815
45,184
51,274
58,023
65,348
73,142
81,299
89,709
98,253
106,812
115,245
123,401
131,115
138,221
144,584
150,089
154,641
158,165
160,615
161,965
162,22
161,407
159,551
156,686
152,866
148,161
142,685
136,575
129,985
123,073
115,979
108,841
101,792
94,949
88,399
82,219
76,454
71,149
66,368
62,157
58,549
55,547
53,118
51,207
49,749
48,667
47,885
47,317
46,863
46,448
46,022
45,545
44,992
44,333
43,514
42,497
41,262
39,798
38,12
36,245
34,193
32
29,71
27,377
25,068
22,827
20,682
18,653
16,753
14,999
13,419
12,027
10,828
9,825
9,018
8,404
7,987
7,757
7,699
7,79
8,006
8,332
8,76
9,283
9,897
10,596
11,373
12,225
13,152
14,152
15,219
16,348
17,533
18,771
20,062
21,407
22,804
24,255
25,754
27,298
28,883
30,501
32,146
33,812
35,493
37,193
38,908
40,636
42,371
44,107
45,834
47,537
49,199
50,792
52,296
53,696
54,986
56,167
57,244
58,219
59,095
59,875
60,56
61,158
61,68
62,13
62,527
62,899
63,289
63,766
64,385
65,181
66,173
67,363
68,739
70,291
71,995
73,814
75,712
77,653
79,596
81,516
83,368
85,087
86,586
87,745
88,452
88,632
88,226
87,195
85,523
83,197
80,229
76,671
72,579
68,012
63,034
57,7
52,082
46,284
40,437
34,695
29,216
24,131
19,558
15,61
12,388
9,992
8,489
7,897
8,213
9,422
11,494
14,391
18,057
22,399
27,297
32,626
38,242
44,005
49,77
55,37
60,631
65,37
69,427
72,676
75,022
76,392
76,732
76,016
74,238
71,419
67,593
62,79
57,054
50,452
43,072
35,033
26,473
17,533
8,333
-1,013
-10,405
-19,753
-28,962
-37,985
-46,79
-55,343
-63,599
-71,478
-78,88
-85,814
-92,359
-98,493
-104,147
-109,119
-113,012
-115,532
-116,44
-115,288
-111,675
-105,587
-97,087
-86,682
-75,62
-64,985
-55,961
-50,238
-47,639
-45,918
-43,627
-38,465
-31,176
-27,581
-28,265
-30,571
-26,87
-1,005
55,311
142,941
257,226
381,078
498,165
593,745
652,01
667,227
639,069
572,344
478,409
364,779
239,146
110,9
-9,144
-104,524
-164,415
-187,633
-182,573
-166,379
-150,811
-140,155
-132,953
-123,255
-109,961
-95,461
-82,29
-73,596
-69,652
-68,642
-69,22
-69,664
-68,379
-64,885
-59,081
-51,193
-41,974
-32,151
-22,286
-13,079
-5,261
0,766
4,813
6,878
7,181
5,911
3,217
-0,681
-5,539
-11,122
-17,186
-23,508
-29,909
-36,2
-42,209
-47,781
-52,762
-57,036
-60,517
-63,146
-64,885
-65,692
-65,543
-64,437
-62,401
-59,504
-55,848
-51,544
-46,719
-41,502
-36,015
-30,389
-24,756
-19,217
-13,872
-8,814
-4,132
0,046
3,605
6,449
8,492
9,698
10,06
9,582
8,297
6,267
3,567
0,298
-3,432
-7,545
-11,947
-16,534
-21,184
-25,726
-30,003
-33,871
-37,187
-39,846
-41,759
-42,846
-43,068
-42,426
-40,935
-38,64
-35,586
-31,789
-27,289
-22,153
-16,474
-10,391
-4,035
2,478
9,013
15,45
21,665
27,543
33,007
38,018
42,545
46,565
50,047
52,937
55,203
56,847
57,892
58,392
58,394
57,943
57,106
55,964
54,611
53,127
51,563
49,943
48,289
46,631
45,006
43,47
42,052
40,767
39,617
38,596
37,7
36,921
36,233
35,591
34,941
34,242
33,475
32,633
31,711
30,697
29,577
28,334
26,967
25,477
23,866
22,137
20,288
18,327
16,269
14,138
11,962
9,76
7,544
5,321
3,098
0,884
-1,313
-3,487
-5,636
-7,757
-9,848
-11,902
-13,916
-15,888
-17,818
-19,711
-21,571
-23,4
-25,197
-26,961
-28,688
-30,377
-32,027
-33,636
-35,207
-36,741
-38,235
-39,691
-41,108
-42,48
-43,8
-45,054
-46,219
-47,28
-48,229
-49,062
-49,784
-50,399
-50,91
-51,327
-51,657
-51,91
-52,097
-52,225
-52,293
-52,321
-52,332
-52,367
-52,481
-52,718
-53,105
-53,667
-54,412
-55,339
-56,442
-57,696
-59,061
-60,501
-61,983
-63,484
-64,984
-66,441
-67,797
-68,977
-69,889
-70,458
-70,62
-70,308
-69,471
-68,08
-66,121
-63,612
-60,6
-57,131
-53,248
-48,996
-44,428
-39,618
-34,668
-29,696
-24,823
-20,163
-15,833
-11,959
-8,659
-6,034
-4,159
-3,079
-2,818
-3,383
-4,769
-6,958
-9,899
-13,524
-17,738
-22,423
-27,47
-32,771
-38,2
-43,625
-48,919
-53,946
-58,596
-62,777
-66,391
-69,368
-71,661
-73,242
-74,125
-74,339
-73,922
-72,931
-71,421
-69,436
-67,038
-64,279
-61,202
-57,87
-54,342
-50,675
-46,954
-43,25
-39,609
-36,068
-32,637
-29,32
-26,132
-23,084
-20,182
-17,451
-14,924
-12,65
-10,71
-9,17
-8,076
-7,462
-7,327
-7,663
-8,481
-9,786
-11,586
-13,887
-16,677
-19,938
-23,662
-27,823
-32,369
-37,246
-42,371
-47,654
-53,04
-58,469
-63,88
-69,257
-74,576
-79,758
-84,753
-89,551
-94,131
-98,554
-102,949
-107,297
-111,517
-115,667
-119,598
-122,767
-124,75
-125,091
-122,947
-119,099
-114,488
-108,13
-100,969
-92,123
-80,148
-69,156
-60,85
-58,168
-65,823
-82,443
-107,626
-137,214
-160,623
-167,178
-144,984
-89,873
-9,145
85,297
179,684
267,614
352,889
437,399
518,171
585,202
620,982
614,957
566,819
482,546
373,77
251,913
126,441
9,385
-85,036
-147,79
-176,723
-179,03
-169,935
-160,001
-153,932
-151,189
-146,637
-139,477
-131,885
-126,05
-124,916
-128,755
-135,763
-144,577
-153,432
-160,617
-165,521
-167,893
-167,776
-165,768
-162,496
-158,466
-154,323
-150,737
-148,042
-146,379
-145,736
-145,905
-146,719
-148,056
-149,739
-151,582
-153,436
-155,174
-156,686
-157,9
-158,718
-159,03
-158,757
-157,85
-156,286
-154,074
-151,231
-147,783
-143,771
-139,246
-134,262
-128,87
-123,127
-117,084
-110,806
-104,364
-97,825
-91,251
-84,692
-78,186
-71,758
-65,425
-59,193
-53,057
-47,005
-41,026
-35,112
-29,27
-23,507
-17,831
-12,243
-6,748
-1,356
3,912
9,029
13,976
18,733
23,278
27,575
31,57
35,213
38,463
41,29
43,681
45,625
47,113
48,145
48,744
48,954
48,838
48,467
47,899
47,187
46,396
45,61
44,932
44,45
44,238
44,356
44,855
45,793
47,213
49,137
51,545
54,384
57,576
61,033
64,676
68,423
72,177
75,818
79,225
82,296
84,942
87,087
88,649
89,538
89,685
89,051
87,639
85,484
82,641
79,177
75,163
70,674
65,798
60,629
55,256
49,75
44,179
38,61
33,114
27,769
22,634
17,743
13,111
8,734
4,596
0,661
-3,099
-6,713
-10,199
-13,563
-16,806
-19,926
-22,923
-25,803
-28,567
-31,214
-33,739
-36,128
-38,358
-40,408
-42,237
-43,789
-45,026
-45,925
-46,485
-46,737
-46,704
-46,4
-45,843
-45,047
-44,03
-42,819
-41,432
-39,884
-38,197
-36,395
-34,517
-32,619
-30,738
-28,892
-27,083
-25,29
-23,501
-21,717
-19,933
-18,147
-16,355
-14,556
-12,753
-10,965
-9,2
-7,463
-5,75
-4,046
-2,349
-0,664
0,997
2,612
4,168
5,657
7,07
8,395
9,628
10,763
11,804
12,76
13,638
14,44
15,165
15,813
16,383
16,882
17,317
17,695
18,024
18,312
18,568
18,804
19,029
19,249
19,466
19,68
19,895
20,119
20,362
20,631
20,929
21,26
21,627
22,035
22,481
22,956
23,442
23,92
24,379
24,815
25,231
25,629
26,009
26,371
26,718
27,063
27,418
27,791
28,182
28,596
29,051
29,581
30,238
31,069
32,104
33,36
34,845
36,562
38,508
40,663
42,99
45,436
47,952
50,497
53,047
55,568
58,002
60,268
62,267
63,899
65,094
65,795
65,945
65,502
64,446
62,782
60,552
57,818
54,63
51,026
47,038
42,707
38,109
33,35
28,551
23,843
19,332
15,115
11,305
7,993
5,252
3,128
1,634
0,769
0,556
1,032
2,23
4,174
6,846
10,187
14,127
18,571
23,435
28,632
34,052
39,597
45,178
50,719
56,16
61,441
66,464
71,103
75,239
78,756
81,581
83,687
85,056
85,7
85,632
84,879
83,484
81,493
78,94
75,841
72,197
68,018
63,354
58,3
52,973
47,484
41,89
36,21
30,454
24,613
18,698
12,683
6,458
-0,008
-6,618
-13,13
-19,08
-23,979
-27,5
-29,309
-28,968
-26,325
-21,554
-15,162
-8,36
-2,494
1,491
2,625
-0,034
-6,651
-16,537
-28,341
-39,391
-46,306
-46,114
-35,607
-11,25
28,12
80,732
144,506
215,741
291,921
375,612
466,261
557,436
639,354
695,384
709,8
678,231
602,729
490,799
357,035
214,428
76,118
-40,138
-120,932
-160,092
-157,675
-124,699
-78,081
-31,896
1,231
14,623
10,467
-5,796
-24,655
-37,842
-43,447
-42,966
-41,283
-41,964
-44,677
-47,923
-49,393
-48,026
-44,518
-39,703
-34,361
-29,091
-24,217
-19,939
-16,398
-13,555
-11,247
-9,381
-7,904
-6,759
-5,886
-5,221
-4,713
-4,348
-4,141
-4,091
-4,166
-4,323
-4,536
-4,805
-5,134
-5,533
-6,004
-6,541
-7,138
-7,786
-8,455
-9,109
-9,714
-10,24
-10,66
-10,949
-11,087
-11,064
-10,87
-10,498
-9,94
-9,189
-8,239
-7,09
-5,752
-4,236
-2,569
-0,79
1,069
2,982
4,925
6,877
8,82
10,738
12,625
14,486
16,327
18,156
19,977
21,79
23,597
25,403
27,217
29,051
30,909
32,788
34,686
36,607
38,56
40,558
42,603
44,685
46,786
48,889
50,981
53,063
55,14
57,208
59,264
61,314
63,37
65,462
67,611
69,815
72,051
74,287
76,497
78,67
80,803
82,887
84,903
86,818
88,591
90,196
91,61
92,798
93,704
94,253
94,374
94,035
93,239
92
90,33
88,232
85,704
82,771
79,478
75,886
72,068
68,075
63,951
59,762
55,602
51,591
47,85
44,456
41,454
38,877
36,771
35,183
34,15
33,669
33,701
34,189
35,07
36,302
37,843
39,619
41,524
43,42
45,179
46,704
47,92
48,751
49,095
48,856
47,963
46,386
44,134
41,23
37,689
33,512
28,718
23,363
17,542
11,375
4,967
-1,594
-8,224
-14,823
-21,259
-27,407
-33,179
-38,519
-43,395
-47,773
-51,605
-54,831
-57,425
-59,394
-60,776
-61,628
-61,99
-61,901
-61,413
-60,601
-59,565
-58,395
-57,148
-55,862
-54,567
-53,306
-52,136
-51,121
-50,296
-49,676
-49,267
-49,063
-49,072
-49,293
-49,71
-50,29
-50,987
-51,767
-52,617
-53,534
-54,516
-55,552
-56,623
-57,712
-58,817
-59,937
-61,075
-62,23
-63,4
-64,587
-65,804
-67,07
-68,407
-69,829
-71,341
-72,944
-74,639
-76,425
-78,304
-80,27
-82,317
-84,436
-86,62
-88,867
-91,171
-93,525
-95,919
-98,341
-100,779
-103,224
-105,665
-108,094
-110,504
-112,888
-115,24
-117,556
-119,834
-122,07
-124,259
-126,396
-128,475
-130,489
-132,434
-134,303
-136,089
-137,788
-139,395
-140,905
-142,315
-143,623
-144,825
-145,916
-146,894
-147,754
-148,492
-149,105
-149,586
-149,934
-150,145
-150,215
-150,146
-149,937
-149,587
-149,095
-148,457
-147,671
-146,742
-145,672
-144,468
-143,139
-141,697
-140,156
-138,541
-136,873
-135,17
-133,452
-131,731
-130,018
-128,323
-126,655
-125,023
-123,431
-121,871
-120,334
-118,804
-117,259
-115,677
-114,026
-112,264
-110,353
-108,266
-105,981
-103,487
-100,783
-97,88
-94,791
-91,538
-88,153
-84,674
-81,155
-77,659
-74,251
-70,997
-67,968
-65,243
-62,89
-60,962
-59,496
-58,514
-58,018
-57,99
-58,406
-59,229
-60,42
-61,957
-63,801
-65,9
-68,197
-70,617
-73,092
-75,572
-78,032
-80,465
-82,868
-85,235
-87,609
-90,137
-92,91
-95,909
-98,957
-101,63
-103,531
-104,413
-103,961
-101,74
-97,551
-91,554
-84,409
-77,557
-72,346
-69,656
-70,638
-76,289
-86,818
-101,877
-118,765
-133,389
-143,38
-145,77
-139,798
-124,931
-96,159
-52,584
7,354
84,689
172,965
270,745
373,603
470,201
551,087
601,045
608,621
573,841
501,898
402,797
285,351
157,12
27,095
